name,code,pop
 Álava,ALV,0
 Albacete,ALB,0
 Alicante,ALC,3
 Almería,ALM,1
 Asturias,AST,2
 Ávila,AV,2
 Badajoz,BAD,1
 Barcelona,BAR,2
 Burgos,BU,3
 Cáceres,CAC,2
 Cádiz,CAD,1
 Cantabria,CAN,0
 Castellón,CAS,1
 Ciudad Real,CR,1
 Córdoba,COR,2
 Cuenca,CUE,1
 Gerona,GER,0
 Granada,GRA,3
 Guadalajara,GUA,0
 Guipúzcoa,GUI,0
 Huelva,HUE,1
 Huesca,HU,3
 Islas Baleares,IB,2
 Jaén,JA,1
 La Coruña,AC,2
 La Rioja,LR,1
 Las Palmas,LP,1
 León,LE,1
 Lérida,LER,1
 Lugo,LU,1
 Madrid,MAD,3
 Málaga,MAL,2
 Murcia,MU,1,
 Navarra,NA,0
 Orense,OR,0
 Palencia,PA,0
 Pontevedra,PO,0
 Salamanca,SA,2
 Santa Cruz de Tenerife,SCT,3
 Segovia,SG,2
 Sevilla,SE,1
 Soria,SO,0
 Tarragona,TA,2
 Teruel,TE,1
 Toledo,TO,1
 Valencia,VAL,2
 Valladolid,VA,0
 Vizcaya,VIZ,1
 Zamora,ZAM,0
 Zaragoza,ZAR,1
